date,Q,H
4/12/2013,-8.228351889101376,7.179862163429933
5/12/2013,-11.727394774224194,7.581040601475156
6/12/2013,-75.32975365196597,0.14816000278480956
7/12/2013,-206.68362454537984,-15.72695499971736
8/12/2013,-395.1285125262802,-38.43813858653165
9/12/2013,-611.131177935232,-64.44513081556337
10/12/2013,-804.6680271155575,-87.8249728844955
11/12/2013,-915.4798739060834,-101.69624293576967
12/12/2013,-888.2520714431269,-100.01142812627957
13/12/2013,-687.4805608306948,-78.93377136263794
14/12/2013,-312.03163146676684,-38.903104139839904
15/12/2013,203.28229298422366,15.835945730421475
16/12/2013,789.1277380728345,77.61522212790075
17/12/2013,1348.9508854015542,136.24454811496997
18/12/2013,1735.238910732539,177.56377034898352
19/12/2013,1872.4044753013754,194.34987129125744
20/12/2013,1752.080652984594,185.3628824055391
21/12/2013,1409.8036152472569,153.8521693677183
22/12/2013,924.3481517554607,107.19057136497103
23/12/2013,389.9483296415886,54.56443043430398
24/12/2013,-101.56937703853319,4.959621400987871
25/12/2013,-481.69739746222444,-34.4842427325698
26/12/2013,-712.1222630309305,-59.28711164258893
27/12/2013,-791.7040782367144,-68.98376834401401
28/12/2013,-749.4001971580867,-66.48267182936384
29/12/2013,-639.8419966478984,-57.85685235417243
30/12/2013,-509.2162577086664,-47.98804466527548
31/12/2013,-384.6664879529111,-39.30253914305705
1/1/2014,-290.80741480868517,-34.21812266094432
2/1/2014,-246.22797042107197,-34.003110169131844
3/1/2014,-254.25045751962955,-39.360790532921996
4/1/2014,-312.19993805996387,-50.63277842488874
5/1/2014,-401.63040155262115,-65.62290898946638
6/1/2014,-491.79166583492395,-79.98712826232318
7/1/2014,-555.218761244542,-89.35028639578945
8/1/2014,-556.3512617075763,-88.51562696475469
9/1/2014,-466.9173889062701,-73.76887430076818
10/1/2014,-276.1599543942167,-44.05877752676434
11/1/2014,1.9273932658384183,-2.032332474728456
12/1/2014,328.6521681592611,46.34707003967212
13/1/2014,633.668884567187,90.82856196372877
14/1/2014,842.0479963547875,120.86714972578929
15/1/2014,900.351075754688,129.08177261967143
16/1/2014,785.1544941603786,112.31956730069659
17/1/2014,514.7070121076523,73.20457382660405
18/1/2014,140.0336594922471,18.698728936451914
19/1/2014,-253.35754719178757,-38.88706868914396
20/1/2014,-551.8423422239019,-83.04198912489612
21/1/2014,-663.1284715338063,-99.92717484511974
22/1/2014,-549.9167817664355,-83.49426325181952
23/1/2014,-232.1853353024651,-36.62613390902664
24/1/2014,197.2271470893952,26.768812735882257
25/1/2014,618.3759679783664,89.25896841405456
26/1/2014,922.3664604140173,134.83644080768784
27/1/2014,1030.7374731271914,151.8019357856196
28/1/2014,907.6333307853538,134.7274141701791
29/1/2014,567.7040014238047,85.65146921304714
30/1/2014,72.42669201550085,13.417589127347094
31/1/2014,-468.4503470153355,-66.4925973519866
1/2/2014,-932.4327209133996,-136.14580788749865
2/2/2014,-1230.8818920577544,-182.083247903577
3/2/2014,-1309.2629860963093,-195.6114544691716
4/2/2014,-1153.5731031277555,-174.09797267880487
5/2/2014,-790.2846776367068,-121.1051568956231
6/2/2014,-281.81645038928355,-45.97933024543478
7/2/2014,261.0016075806455,34.3123385665882
8/2/2014,737.7819971521562,104.99645407997465
9/2/2014,1087.110405334145,156.92658490137163
10/2/2014,1278.6756671808407,185.54214755896433
11/2/2014,1306.9401612652644,189.97357293466774
12/2/2014,1188.686088089711,172.7751555411785
13/2/2014,952.2433407761027,137.99098809603495
14/2/2014,634.2556422441211,91.19372194948347
15/2/2014,278.5195251822927,39.09127401171045
16/2/2014,-63.274417511900594,-10.730612792313519
17/2/2014,-343.71642837708265,-51.42424206671818
18/2/2014,-528.7258360010001,-77.8841524690117
19/2/2014,-612.9108071935991,-89.23566825422778
20/2/2014,-608.293175044422,-87.4145565792794
21/2/2014,-538.3083896255705,-76.04657032727434
22/2/2014,-436.71929331601683,-60.35577439277439
23/2/2014,-334.2226469850767,-44.990532967854534
24/2/2014,-250.20176759399945,-32.80792526816934
25/2/2014,-187.29257190500414,-24.04161355377356
26/2/2014,-142.3348109968789,-17.993612460829407
27/2/2014,-119.30585977894003,-15.458287824717516
28/2/2014,-114.59726395103519,-15.84417670632064
1/3/2014,-115.8899119426791,-17.083551826154874
2/3/2014,-114.59644063614445,-17.740913701734748
3/3/2014,-107.51324595403831,-17.17598240244155
4/3/2014,-92.8760193721994,-15.068091674710386
5/3/2014,-75.108865207522,-12.144265692882968
6/3/2014,-59.50405805029166,-9.369394885258366
7/3/2014,-50.4801732910699,-7.641525217294672
8/3/2014,-49.75236651038854,-7.408437048731859
9/3/2014,-56.452162797442654,-8.561251507636777
10/3/2014,-67.02469974327668,-10.342787103897065
11/3/2014,-74.78874621266229,-11.589275998926196
12/3/2014,-74.20012154439851,-11.344832182346671
13/3/2014,-65.26635690220856,-9.64469530389495
14/3/2014,-48.709884748540084,-6.7189013779327285
15/3/2014,-28.89754092269238,-3.3914933628262656
16/3/2014,-7.114581865087087,0.009650979868489784
17/3/2014,15.93101395643767,3.4101131591609035
18/3/2014,41.86950622171087,7.140217655391759
19/3/2014,69.43617808441043,10.982149086959947
20/3/2014,91.8377236740949,14.003474734757278
21/3/2014,107.7408449573517,16.141194773238016
22/3/2014,117.81060177859364,17.583226509319115
23/3/2014,125.28616480189011,18.76657610672899
24/3/2014,128.55360537476636,19.43501720006033
25/3/2014,125.76792950607337,19.29936205086214
26/3/2014,115.09165528446385,17.991680233161663
27/3/2014,90.81334785901208,14.668401795342577
28/3/2014,46.40408576865289,8.317862092469015
29/3/2014,-22.01614727740788,-1.659404604020441
30/3/2014,-111.2514232153058,-14.795306547088048
31/3/2014,-213.09521527283536,-29.77930508893725
1/4/2014,-311.57439734613274,-44.18221582608665
2/4/2014,-388.897606528352,-55.35623264105548
3/4/2014,-431.36051429357343,-61.29428994334428
4/4/2014,-432.3747702412136,-61.137784416878766
5/4/2014,-390.70283100987604,-54.79645295556903
6/4/2014,-308.25266655363663,-42.70621006330365
7/4/2014,-194.94582387070494,-26.35326068677486
8/4/2014,-68.72181966815347,-8.33804174215511
9/4/2014,51.25790349581112,8.52872915664909
10/4/2014,148.87645692841454,22.02991900166974
11/4/2014,221.74075068752825,31.78090431949922
12/4/2014,268.8304055145369,37.748306833844914
13/4/2014,287.183470330083,39.76586690222419
14/4/2014,281.1303977619157,38.55403950680493
15/4/2014,257.8279181764705,35.10130855721286
16/4/2014,224.21833369959703,30.408560335259118
17/4/2014,182.7068031713887,24.805663393770818
18/4/2014,133.34840951929928,18.25817883249414
19/4/2014,77.60348042034289,10.940577521826832
20/4/2014,18.004892688040897,3.1463595003634492
21/4/2014,-40.19410980929579,-4.4604150372585964
22/4/2014,-90.08073377130704,-10.945844072378526
23/4/2014,-125.44547060629556,-15.519770358026513
24/4/2014,-141.97379417823808,-17.651328243553706
25/4/2014,-139.39798380317586,-17.348907083399634
26/4/2014,-116.57637987510984,-14.428914495651975
27/4/2014,-76.26463818150638,-9.242859331129887
28/4/2014,-22.60595145095701,-2.399178488508302
29/4/2014,31.967123248992856,4.509211672013276
30/4/2014,76.02139391165514,10.02899864939748
1/5/2014,104.63815227346007,13.609562141243345
2/5/2014,121.9098410631545,15.741896900323715
3/5/2014,135.63784348666118,17.37759719027309
4/5/2014,149.08560690306106,18.911811348892932
5/5/2014,158.6788776451792,20.014592564127145
6/5/2014,167.47564879147018,21.10327888505347
7/5/2014,176.37692585347688,22.335737607283033
8/5/2014,179.7656319290885,22.899123814713626
9/5/2014,171.31466360905935,21.83940508063521
10/5/2014,147.46584072823606,18.691667807869557
11/5/2014,110.47556484429191,13.733726559624925
12/5/2014,68.8142492322259,8.18031850058551
13/5/2014,37.27785639761789,4.020361286675355
14/5/2014,28.78710877041769,2.9993198291305507
15/5/2014,50.65542655178224,6.087832079767626
16/5/2014,105.85663256740362,13.60805066672147
17/5/2014,187.60856239067428,24.529395703650057
18/5/2014,278.99988540647246,36.63535636623489
19/5/2014,354.2675295126477,46.597504718617294
20/5/2014,386.576370870185,50.894653915687904
21/5/2014,357.7226543654678,47.09596361844981
22/5/2014,262.82155320573423,34.511280238280904
23/5/2014,114.71046802301453,14.88673689839033
24/5/2014,-67.07315320828359,-9.131099488202413
25/5/2014,-249.2338195901542,-33.199228688736994
26/5/2014,-395.51918511352056,-52.43688068364648
27/5/2014,-471.08257651683135,-62.156107459113855
28/5/2014,-470.4749678088533,-61.62936045872833
29/5/2014,-418.1861845327182,-54.184408999696544
30/5/2014,-344.1928281651071,-43.94565879666105
